district,fiscal_year,remittance_musd,source_pdf
Nilphamari,FY2022-23,51.7,report_june2025.pdf
Noakhali,FY2022-23,702.2,report_june2025.pdf
Pabna,FY2022-23,128.0,report_june2025.pdf
Panchagarh,FY2022-23,21.1,report_june2025.pdf
Patuakhali,FY2022-23,59.5,report_june2025.pdf
Pirojpur,FY2022-23,89.2,report_june2025.pdf
Rajbari,FY2022-23,86.6,report_june2025.pdf
Rajshahi,FY2022-23,85.9,report_june2025.pdf
Rangamati,FY2022-23,28.4,report_june2025.pdf
Rangpur,FY2022-23,55.6,report_june2025.pdf
Satkhira,FY2022-23,78.7,report_june2025.pdf
Shariatpur,FY2022-23,257.9,report_june2025.pdf
Sherpur,FY2022-23,35.8,report_june2025.pdf
Sirajganj,FY2022-23,90.1,report_june2025.pdf
Sunamganj,FY2022-23,323.9,report_june2025.pdf
Sylhet,FY2022-23,1244.1,report_june2025.pdf
Tangail,FY2022-23,413.1,report_june2025.pdf
Thakurgaon,FY2022-23,27.4,report_june2025.pdf
Bagerhat,FY2023-24,102.1,report_june2025.pdf
Bandarban,FY2023-24,26.8,report_june2025.pdf
Barguna,FY2023-24,62.5,report_june2025.pdf
Barisal,FY2023-24,202.4,report_june2025.pdf
Bhola,FY2023-24,99.5,report_june2025.pdf
Bogura,FY2023-24,144.3,report_june2025.pdf
Brahmanbaria,FY2023-24,615.5,report_june2025.pdf
Chandpur,FY2023-24,571.4,report_june2025.pdf
Chapainawabganj,FY2023-24,113.5,report_june2025.pdf
Chattogram,FY2023-24,2367.4,report_june2025.pdf
Chuadanga,FY2023-24,71.9,report_june2025.pdf
Comilla,FY2023-24,1269.8,report_june2025.pdf
Coxsbazar,FY2023-24,168.7,report_june2025.pdf
Dhaka,FY2023-24,8287.4,report_june2025.pdf
Dinajpur,FY2023-24,49.7,report_june2025.pdf
Faridpur,FY2023-24,233.9,report_june2025.pdf
Feni,FY2023-24,607.4,report_june2025.pdf
Gaibandha,FY2023-24,51.3,report_june2025.pdf
Gazipur,FY2023-24,318.0,report_june2025.pdf
Gopalganj,FY2023-24,105.3,report_june2025.pdf
Habiganj,FY2023-24,312.6,report_june2025.pdf
Jamalpur,FY2023-24,115.3,report_june2025.pdf
Jashore,FY2023-24,163.9,report_june2025.pdf
Jhalokati,FY2023-24,55.5,report_june2025.pdf
Jhenaidah,FY2023-24,86.4,report_june2025.pdf
Joypurhat,FY2023-24,36.6,report_june2025.pdf
Khagrachhari,FY2023-24,30.2,report_june2025.pdf
Khulna,FY2023-24,118.2,report_june2025.pdf
Kishoreganj,FY2023-24,276.9,report_june2025.pdf
Kurigram,FY2023-24,34.9,report_june2025.pdf
Kushtia,FY2023-24,130.9,report_june2025.pdf
Lakshmipur,FY2023-24,357.2,report_june2025.pdf
Lalmonirhat,FY2023-24,18.6,report_june2025.pdf
Madaripur,FY2023-24,337.7,report_june2025.pdf
Magura,FY2023-24,57.8,report_june2025.pdf
Manikganj,FY2023-24,188.6,report_june2025.pdf
Meherpur,FY2023-24,70.8,report_june2025.pdf
Moulvibazar,FY2023-24,568.4,report_june2025.pdf
Munshiganj,FY2023-24,391.9,report_june2025.pdf
Mymensingh,FY2023-24,209.3,report_june2025.pdf
Naogaon,FY2023-24,75.1,report_june2025.pdf
Narail,FY2023-24,48.0,report_june2025.pdf
Narayanganj,FY2023-24,369.6,report_june2025.pdf
Narsingdi,FY2023-24,377.8,report_june2025.pdf
Natore,FY2023-24,62.0,report_june2025.pdf
Netrokona,FY2023-24,51.7,report_june2025.pdf
Nilphamari,FY2023-24,37.1,report_june2025.pdf
Noakhali,FY2023-24,746.8,report_june2025.pdf
Pabna,FY2023-24,128.8,report_june2025.pdf
Panchagarh,FY2023-24,24.3,report_june2025.pdf
Patuakhali,FY2023-24,63.0,report_june2025.pdf
Pirojpur,FY2023-24,77.5,report_june2025.pdf
