Names of Unit,Dacoity,Robbery,Murder,Speedy Trial,Riot,Woman & Child Repression,Kidnapping,Police Assault,Burglary,Theft,Other Cases,RC Arms Act,RC Explosive Act,RC Narcotics,RC Smuggling,Date
Rangpur Range,0.0,2.0,21,2,0.0,239.0,1,3,16,46.0,717.0,0.0,0,395.0,17.0,Nov-20
Ralway Range,0.0,2.0,0,0,0.0,1.0,0,0,0,5.0,16.0,1.0,0,34.0,0.0,Nov-20
DMP,4.0,14.0,11,8,0.0,171.0,7,1,60,114.0,486.0,7.0,10,1503.0,11.0,Dec-20
CMP,0.0,5.0,8,10,0.0,78.0,2,2,8,20.0,137.0,37.0,1,268.0,5.0,Dec-20
KMP,0.0,2.0,0,0,0.0,10.0,1,0,3,6.0,33.0,0.0,0,75.0,1.0,Dec-20
RMP,0.0,2.0,0,1,0.0,14.0,2,2,2,3.0,45.0,2.0,0,311.0,18.0,Dec-20
BMP,0.0,1.0,2,1,0.0,18.0,0,0,9,10.0,28.0,2.0,0,64.0,0.0,Dec-20
SMP,1.0,0.0,3,4,0.0,20.0,0,2,2,18.0,104.0,3.0,1,87.0,4.0,Dec-20
RPMP,0.0,0.0,1,0,0.0,20.0,0,0,3,8.0,42.0,1.0,0,58.0,0.0,Dec-20
GMP,1.0,1.0,10,1,0.0,24.0,13,2,8,7.0,65.0,1.0,0,110.0,1.0,Dec-20
Dhaka Range,6.0,22.0,54,19,0.0,278.0,11,8,51,91.0,938.0,5.0,2,683.0,7.0,Dec-20
Mymensingh Range,0.0,1.0,17,6,0.0,186.0,1,1,10,42.0,457.0,6.0,0,293.0,5.0,Dec-20
Chittagong Range,7.0,12.0,38,14,2.0,251.0,11,6,40,110.0,936.0,20.0,3,884.0,12.0,Dec-20
Sylhet Range,1.0,4.0,14,3,0.0,70.0,1,3,5,37.0,359.0,6.0,1,186.0,20.0,Dec-20
Khulna Range,1.0,8.0,24,4,0.0,137.0,5,0,15,63.0,571.0,8.0,2,526.0,20.0,Dec-20
Barishal Range,0.0,2.0,13,1,0.0,92.0,0,2,6,20.0,387.0,2.0,1,229.0,0.0,Dec-20
Rajshahi Range,1.0,4.0,38,3,0.0,196.0,2,5,4,43.0,491.0,10.0,0,766.0,89.0,Dec-20
Rangpur Range,1.0,3.0,24,3,0.0,204.0,1,0,4,57.0,683.0,2.0,0,448.0,28.0,Dec-20
Ralway Range,0.0,0.0,2,0,0.0,1.0,0,1,0,8.0,7.0,0.0,0,18.0,1.0,Dec-20
DMP,3.0,15.0,18,12,0.0,185.0,7,7,68,128.0,504.0,5.0,4,1532.0,17.0,Jan-21
CMP,0.0,3.0,9,11,0.0,77.0,0,7,8,17.0,150.0,35.0,11,240.0,4.0,Jan-21
KMP,0.0,1.0,2,0,0.0,8.0,3,1,2,18.0,24.0,3.0,0,79.0,3.0,Jan-21
RMP,0.0,2.0,2,0,0.0,18.0,1,1,2,5.0,39.0,1.0,0,329.0,26.0,Jan-21
BMP,0.0,1.0,2,1,0.0,5.0,0,0,7,12.0,50.0,1.0,0,48.0,0.0,Jan-21
SMP,0.0,2.0,2,5,0.0,23.0,1,1,3,15.0,89.0,0.0,0,87.0,8.0,Jan-21
RPMP,0.0,0.0,0,9,0.0,21.0,1,0,3,12.0,50.0,0.0,0,68.0,0.0,Jan-21
GMP,1.0,6.0,2,3,0.0,28.0,5,1,7,8.0,57.0,5.0,0,100.0,0.0,Jan-21
Dhaka Range,12.0,19.0,51,7,0.0,279.0,10,6,45,132.0,1011.0,10.0,5,643.0,6.0,Jan-21
Mymensingh Range,0.0,1.0,7,15,0.0,142.0,2,0,9,39.0,458.0,2.0,0,392.0,14.0,Jan-21
Chittagong Range,9.0,9.0,46,10,0.0,189.0,0.9,10,34,94.0,919.0,23.0,6,920.0,5.0,Jan-21
Sylhet Range,1.0,3.0,16,6,0.0,81.0,1,3,5,44.0,357.0,1.0,2,150.0,33.0,Jan-21
Khulna Range,2.0,12.0,19,2,0.0,157.0,0,2,16,65.0,674.0,9.0,2,559.0,20.0,Jan-21
Barishal Range,1.0,1.0,13,8,0.0,85.0,1,3,10,17.0,378.0,1.0,0,234.0,0.0,Jan-21
Rajshahi Range,1.0,7.0,42,2,0.0,182.0,2,4,5,39.0,496.0,17.0,7,818.0,63.0,Jan-21
Rangpur Range,3.0,4.0,25,0,0.0,159.0,2,1,8,46.0,680.0,1.0,0,416.0,39.0,Jan-21
Ralway Range,0.0,1.0,1,1,0.0,2.0,0,0,0,3.0,9.0,0.0,0,24.0,0.0,Jan-21
DMP,0.0,8.0,12,5,0.0,171.0,4,11,55,101.0,459.0,7.0,3,1224.0,15.0,Feb-21
